User,Tweet
@RoflGandhi_,ये चीजें देखता हूं तो दिल को संतोष होता है...
@SushantBSinha,"किसी का 99 लाना भी बहुत लगता है, किसी का 10 साल की एंटी इनकंबंसी के बाद 241 लाना भी कम लगता है। दो नेताओं से देश की उम्मीदों का फर्क है ये।ये कमोवेश वैसे ही है कि टॉपर का 90 भी लाना कम लगता है और कमजोर विद्यार्थी का फेल होने के बावजूद पिछली बार से 10 नंबर ज्यादा भी बहुत लगता है।"
@randomsena,Big Breaking 7 Independent Mps extends Support to NDA - Sources The Game has Just Begun
@SaffronSunanda,"Power Star for a reason ""Even if they offer me Prime Minister post. I will not leave Modi ji. The world have seen what Modi ji is done for our country"". - Pawan Kalyan Garu"
@POTUS,"Congratulations to Prime Minister Narendra Modi and the National Democratic Alliance on their victory, and the nearly 650 million voters in this historic election. The friendship between our nations is only growing as we unlock a shared future of unlimited potential."
@himantabiswa,"In today's India , even those who don't win find reasons to celebrate."
@CricCrazyJohns,THE PULL SHOT KA RAJA - ROHIT SHARMA.
@Sudanshutrivedi,"अधीर रंजन चौधरी कांग्रेस के नेता हैं, जो हमेशा मोदी और हिंदुत्व के खिलाफ रहे हैं। वे मुस्लिम बहुल बेहरामपुर से 25 साल तक सांसद रहे, उन्हें मुस्लिम वोट मिलते थे। पहली बार टीएमसी ने उनके खिलाफ गुजरात से एक मुस्लिम उम्मीदवार यूसुफ पठान को मैदान में उतारा और मुसलमानों ने यूसुफ को…"
@erbmjha,Countries/Govts congratulate Modi Ji after winning 240 Seats: - Bangladesh - Barbados - Bhutan - China - Comoros - Czech Republic - Guyana - Iran - Israel - Italy - Jamaica - Japan - Kenya - Lithuania - Latvia - Oman - Malaysia - Maldives - Mauritius - Myanmar - Nepal - Nigeria…
@kamaalrkhan,ना ही तेरी घटिया पार्टी का टिकट किसी मुस्लिम को चाहिए और ना ही किसी मुस्लिम को तेरे को वोट देना है। अब अपने घर पर बैठकर CM बनने के सपने देख! अब आगे देश को लूटने का मौक़ा नहीं मिलेगा! @Mayawati
@ndtvindia,बहुमत से दूर रह गया इंडिया गठबंधन अब अन्य राजनीतिक दलों का स्वागत करने को तैयार है. कांग्रेस अध्यक्ष मल्लिकार्जुन खरगे का कहना है कि इंडिया गठबंधन उन सभी राजनीतिक दलों का स्वागत करता है जो भारत के संविधान की प्रस्तावना में अटूट विश्वास रखते हैं. इंडिया गठबंधन के घटक दलों की बैठक…
@RajBabbar23,"भले ही परिणाम हमारे पक्ष में नहीं रहा, लेकिन गुरुग्राम द्वारा मिले 7 लाख 33 हजार वोट मेरे लिए एक बड़ी उपलब्धि है। ये केवल वोट नहीं हैं, बल्कि 7 लाख 33 हजार परिवारों का विश्वास और प्रेम हैं। आपने जो विश्वास मुझ पर जताया है, उसे मैं पूरी निष्ठा से निभाऊंगा। मैं आप सभी का दिल से…"
@news24tvchannel,कांग्रेस अध्यक्ष मल्लिकार्जुन खरगे के आवास पर INDIA गठबंधन के नेताओं की बैठक हुई #INDIAAlliance | #RahulGandhi | #AkhileshYadav
@Nher_who,A guy who once wanted to end Opposition and gain extreme Power Now sits in a corner with heads down at the mercy of alliance partners. Power of Democracy Power of your Vote.
@ajitanjum,"क्या ये सही है कि योगी सरकार कुछ पत्रकारों / Influencers को हर महीने एक निश्चित रक़म देती है बदले में उनसे अपनी तारीफ़ करवाती है ? योगी , मोदी और बीजेपी की तारीफ़ में लगातार लिखने वालों के पीछे लिफ़ाफ़ा काम करता है ? यूपी के जानकार बता सकते हैं ."
@samajwadiparty,"INDIA गठबंधन की बैठक, नई दिल्ली।"
@narendramodi,आज विश्व पर्यावरण दिवस पर मुझे #एक_पेड़_माँ_के_नाम अभियान शुरू कर अत्यंत प्रसन्नता हो रही है। मैं देशवासियों के साथ ही दुनियाभर के लोगों से आग्रह करता हूं कि वे अपनी माँ के साथ मिलकर या उनके नाम पर एक पेड़ जरूर लगाएं। ये आपकी तरफ से उन्हें एक अनमोल उपहार होगा। इससे जुड़ी तस्वीर…
@erbmjha,no words to describe this feeling.
@TecnoMobileInd,"Hello Mot… err, we don’t greet the same old designs Upgrade your design experience with #CAMON30Series. Shop now: http://knw.one/camon30?twclid=2-6ezw8jh4co59v55w8l6ofo2fz #TECNOMobiles"
@priyankagandhi,LIVE: Press briefing by INDIA leaders at Congress President Shri @Kharge ’s residence in New Delhi.
@yadavakhilesh,ये है ‘कन्नौज की महान जनता’ का पैगाम सौहार्दपूर्ण सकारात्मक राजनीति के नाम कन्नौज की ख़ुशबू को फिर से महकाएँगे… सबको शुक्रिया-सबका आभार!
@RubikaLiyaquat,NDA की बैठक। 18वी लोकसभा की तैयारी
@JanaSenaParty,"ఆంధ్ర ప్రదేశ్ ఎన్నికల్లో భారీ విజయం సాధించిన 21/21 జనసేన ఎమ్మెల్యే అభ్యర్థులకు, 2/2 MP అభ్యర్థులకు అభినందనలు. #KutamiTsunami #JSPFutureofAP"
@ShivAroor,32 facts that don’t care about your feelings. #Results2024
@ajeetbharti,शिवराज सिंह चौहान को पुनः मध्यप्रदेश का मुख्यमंत्री बना देना चाहिए। विधानसभा की प्रचंड जीत के बाद लोकसभा में तनिक भी दाहिने-बाएँ होता तो केन्द्र सरकार संकट में होती। तीन टर्म कोई नियम तो है नहीं। संभव है रक्षा या वित्त मंत्रालय दिया जाए और संगठन का दायित्व भी अध्यक्ष रूप में।
@erbmjha,7 Independents & 3 MPs from small parties have declared their support to PM Modi. They expressed their desire for PM @narendramodi to lead India with mega reforms & a stable govt. NDA now stands at 303
@GabbbarSingh,"JDU & TDP give a letter of Support to Modi ji. Chalo, Phir Ek Baar… 3rd historic term."
@bitgetglobal,"Exciting rewards await at #KCGI2024 Join daily challenges to earn token rewards Register for #KCGI2024 now for a chance to win a Ferrari, a luxury watch, and other exclusive rewards. Join now: https://bitget.com/events/kcgi/rewards?twclid=2-3p3wj1y4x5lk4farmga2ns4ep… #Bitget"
@ANI,NDA leaders unanimously elect Narendra Modi as their leader in the proposal passed by the leaders of the NDA in Delhi.
@RoshanKrRaii,"BIG BREAKING : Civil War erupts amongst Godi Media after BJP loses majority Waited for this for a decade, This is the start of BJP and Godi Media's end. Share this video everywhere."
@naralokesh,"టిడిపి కూట‌మి ఘ‌న‌విజ‌యం సాధించి, చంద్ర‌బాబు గారు ముఖ్య‌మంత్రి కాబోతున్న సంద‌ర్భంగా కొత్త‌చెరువు మండ‌ల కేంద్రంలో రోజంతా అంద‌రికీ ఉచితంగా టీ అందించిన బ‌షీర్ అభిమానానికి ఫిదా అయ్యాను. #KutamiTsunami #AndhraPradesh"
@News18India,NDA से जुड़ी बड़ी ख़बर सूत्र: 15 छोटे बड़े दल NDA के संपर्क में हैं सूत्र: 15 छोटे बड़े दलों ने समर्थन पत्र सौंपा #loksabhaelectionresult2024 #PMModi #BJP #nitishkumar #TDP #ChandrababuNadu @SabeenaTamang @YatendraMedia
@ajeetbharti,"‘800 वर्ष के शासन’ के बाद बर्तन माँजने, पोछा मारने और रिक्शा खींचने वालों की औलादें जब हिन्दुओं को मिटाने की बात पर स्खलित हो कर रीपोस्ट करते हैं तो क्यूट लगते हैं। हिन्दू, औरंगजेब के अस्तबल के घोड़ों की लीद उठा कर कन्वर्ट हुए लोगों के कई पीढ़ियों के दिवास्वप्न को देख कर भी सौ…"
@news24tvchannel,"""सोनिया जी ने मुझे कहा कि आपकी सोशल मीडिया टीम ने बहुत अच्छा काम किया"" ◆ कांग्रेस प्रवक्ता सुप्रिया श्रीनेत ने कहा @SupriyaShrinate | #Congress | #LokSabhaEelections2024"
@mkstalin,"அடக்குமுறை, வெறுப்புப் பிரசாரம் என அனைத்தையும் தகர்த்தெறிந்து ஒட்டுமொத்த இந்தியாவும் திரும்பிப் பார்க்கும் வெற்றியைப் பெற்றுள்ளோம்! பா.ஜ.க.வின் பத்தாண்டுகால சர்வாதிகார ஆட்சிக்குக் கடிவாளம் போட்டுள்ள இந்த வெற்றியை ஆர்ப்பாட்டமில்லாமல், மக்களுக்கு நேரில் நன்றி தெரிவித்துக்…"
@erbmjha,"Baaki sab to theek hai par, Badhayii Delhi baune @ArvindKejriwal ko firse aukaat dikhane ke liye"
@ANI,"NDA leaders held a meeting today at 7, LKM, the residence of Prime Minister Narendra Modi, in Delhi."
@91mobiles,"We just wrapped up an epic 91mobiles Tech Day with MSI, and what an experience it was for our 300+ Tech Tribe community members. From experiencing the MSI Claw for the first time in India to exploring a massive lineup of latest MSI laptops, every tech enthusiast was in for a…"
